timestamp,experiment,noise_level,traffic_pattern,isolation_method,identity_mode,ebpf_enabled,strategy,containers,iteration,failure_mode,tenant,requests,failures,p50_ms,p95_ms,p99_ms,jitter_ms,variance_ms2,throughput_rps,packet_drops,tail_amplification,recovery_window_samples,degradation_window_samples,isolation_score
2026-03-22T13:43:05+05:30,exp_00178_nhigh_pintermittent_mnone_idip_c3_fspike_it1,high,intermittent,none,ip,false,none,3,1,spike,tenant2,400,0,0.812,6.621,10.387,2.284,5.218,17.153,0,12.7919,43,1,8.4173
2026-03-22T13:53:30+05:30,exp_00190_nhigh_pintermittent_madaptive_idip_c3_fspike_it1,high,intermittent,adaptive,ip,true,adaptive,3,1,spike,tenant2,400,0,0.791,6.554,10.365,2.359,5.566,17.444,0,13.1037,41,1,8.3995
2026-03-22T13:11:17+05:30,exp_00143_nhigh_pconstant_madaptive_idcgroup_c3_fnone_it1,high,constant,adaptive,cgroup,true,adaptive,3,1,none,tenant2,400,0,0.850,6.625,10.357,2.757,7.599,16.087,0,12.1847,21,2,8.3930
2026-03-22T12:59:54+05:30,exp_00131_nhigh_pconstant_mnone_idcgroup_c3_fnone_it1,high,constant,none,ip,false,none,3,1,none,tenant1,400,0,0.815,6.528,10.303,2.232,4.983,16.316,0,12.6417,67,1,6.7738
2026-03-22T13:23:37+05:30,exp_00157_nhigh_pbursty_madaptive_idip_c3_fnone_it1,high,bursty,adaptive,ip,true,adaptive,3,1,none,tenant2,400,0,0.838,6.330,10.263,2.369,5.613,16.392,0,12.2470,39,1,8.3169
2026-03-22T10:39:17+05:30,exp_00034_nlow_pconstant_mnone_idip_c10_fnone_it4,low,constant,none,ip,false,none,10,4,none,tenant3,400,0,0.748,2.189,10.176,2.662,7.087,20.326,0,13.6043,12,1,3.5506
2026-03-22T13:44:50+05:30,exp_00180_nhigh_pintermittent_mnone_idcgroup_c3_fspike_it1,high,intermittent,none,ip,false,none,3,1,spike,tenant2,400,0,0.796,6.038,10.138,2.264,5.125,17.590,0,12.7362,14,1,8.2156
2026-03-22T12:13:08+05:30,exp_00066_nmedium_pconstant_mnone_idip_c3_fspike_it1,medium,constant,none,ip,false,none,3,1,spike,tenant1,400,0,0.765,4.398,10.095,1.729,2.989,17.957,0,13.1961,36,1,6.6371
2026-03-22T13:03:39+05:30,exp_00135_nhigh_pconstant_mtc_idcgroup_c3_fnone_it1,high,constant,tc,ip,false,none,3,1,none,tenant1,400,0,1.076,6.678,9.947,2.324,5.400,16.425,0,9.2444,69,2,6.5398
2026-03-22T13:55:15+05:30,exp_00192_nhigh_pintermittent_madaptive_idcgroup_c3_fspike_it1,high,intermittent,adaptive,cgroup,true,adaptive,3,1,spike,tenant1,400,0,0.826,6.390,9.927,2.268,5.145,17.306,0,12.0182,41,1,6.5266
2026-03-22T13:07:25+05:30,exp_00139_nhigh_pconstant_mebpf_idcgroup_c3_fnone_it1,high,constant,ebpf,ip,true,rate_limit,3,1,none,tenant2,400,0,0.831,6.381,9.919,3.030,9.183,15.822,0,11.9362,38,1,8.0381
2026-03-22T13:14:02+05:30,exp_00146_nhigh_pbursty_mnone_idip_c3_fspike_it1,high,bursty,none,ip,false,none,3,1,spike,tenant1,400,0,0.796,6.577,9.900,2.166,4.690,17.592,0,12.4372,30,2,6.5089
2026-03-22T13:17:31+05:30,exp_00150_nhigh_pbursty_mtc_idip_c3_fspike_it1,high,bursty,tc,ip,false,none,3,1,spike,tenant2,400,0,0.787,5.954,9.848,2.013,4.050,17.890,0,12.5133,9,1,7.9806
2026-03-22T13:52:34+05:30,exp_00189_nhigh_pintermittent_madaptive_idip_c3_fnone_it1,high,intermittent,adaptive,ip,true,adaptive,3,1,none,tenant2,400,0,0.833,6.255,9.779,3.023,9.139,16.340,0,11.7395,17,1,7.9246
2026-03-22T13:07:25+05:30,exp_00139_nhigh_pconstant_mebpf_idcgroup_c3_fnone_it1,high,constant,ebpf,ip,true,rate_limit,3,1,none,tenant1,400,0,0.817,6.617,9.676,2.241,5.021,17.329,0,11.8433,13,1,6.3616
2026-03-22T13:53:30+05:30,exp_00190_nhigh_pintermittent_madaptive_idip_c3_fspike_it1,high,intermittent,adaptive,ip,true,adaptive,3,1,spike,tenant1,400,0,0.831,6.374,9.673,2.269,5.149,16.415,0,11.6402,23,1,6.3596
2026-03-22T10:47:57+05:30,exp_00037_nlow_pconstant_mnone_idip_c10_fspike_it2,low,constant,none,ip,false,none,10,2,spike,tenant9,400,0,0.769,2.757,9.611,1.546,2.390,18.825,0,12.4980,51,2,7.1035
2026-03-22T13:19:13+05:30,exp_00152_nhigh_pbursty_mtc_idcgroup_c3_fspike_it1,high,bursty,tc,ip,false,none,3,1,spike,tenant1,400,0,0.801,6.495,9.608,2.211,4.887,17.486,0,11.9950,21,2,6.3169
2026-03-22T13:40:22+05:30,exp_00175_nhigh_pdelayed_start_madaptive_idcgroup_c3_fnone_it1,high,delayed_start,adaptive,cgroup,true,adaptive,3,1,none,tenant1,400,0,0.830,5.728,9.596,2.015,4.060,16.772,0,11.5614,10,1,6.3090
2026-03-22T13:43:05+05:30,exp_00178_nhigh_pintermittent_mnone_idip_c3_fspike_it1,high,intermittent,none,ip,false,none,3,1,spike,tenant1,400,0,0.830,6.472,9.585,2.352,5.531,16.714,0,11.5482,35,2,6.3018
2026-03-22T13:49:53+05:30,exp_00186_nhigh_pintermittent_mebpf_idip_c3_fspike_it1,high,intermittent,ebpf,ip,true,rate_limit,3,1,spike,tenant1,400,0,0.811,6.452,9.572,2.466,6.081,17.931,0,11.8027,36,2,6.2932
