timestamp,experiment,tenant,noise_level,traffic_pattern,isolation_method,identity_mode,strategy,containers,failure_mode,p50_ms,p95_ms,p99_ms,jitter_ms,throughput_rps,tail_amplification,isolation_score
2026-03-22T10:47:56+05:30,exp_00037_nlow_pconstant_mnone_idip_c10_fspike_it2,tenant2,low,constant,none,ip,none,10,spike,0.726,1.780,6.204,0.954,21.219,8.5455,5.0276
2026-03-22T10:56:56+05:30,exp_00040_nlow_pconstant_mnone_idip_c10_fspike_it5,tenant3,low,constant,none,ip,none,10,spike,0.727,2.253,6.068,1.207,22.115,8.3466,2.1172
2026-03-22T10:51:06+05:30,exp_00038_nlow_pconstant_mnone_idip_c10_fspike_it3,tenant9,low,constant,none,ip,none,10,spike,0.730,2.286,6.026,1.999,19.976,8.2548,4.4538
2026-03-22T12:15:21+05:30,exp_00069_nmedium_pconstant_mtc_idip_c3_fnone_it1,tenant2,medium,constant,tc,ip,none,3,none,0.710,2.450,5.979,0.886,22.212,8.4211,4.8452
2026-03-22T10:39:17+05:30,exp_00034_nlow_pconstant_mnone_idip_c10_fnone_it4,tenant5,low,constant,none,ip,none,10,none,0.737,1.662,5.977,1.021,21.179,8.1099,3.5263
2026-03-22T12:37:21+05:30,exp_00100_nmedium_pdelayed_start_mnone_idcgroup_c3_fspike_it1,tenant1,medium,delayed_start,none,ip,none,3,spike,0.747,3.835,5.883,1.153,19.882,7.8755,3.8679
2026-03-22T12:44:54+05:30,exp_00110_nmedium_pdelayed_start_madaptive_idip_c3_fspike_it1,tenant2,medium,delayed_start,adaptive,ip,adaptive,3,spike,0.787,4.390,5.861,1.260,18.641,7.4473,4.7496
2026-03-22T12:38:50+05:30,exp_00102_nmedium_pdelayed_start_mtc_idip_c3_fspike_it1,tenant1,medium,delayed_start,tc,ip,none,3,spike,0.743,2.736,5.821,0.997,20.129,7.8345,3.8271
2026-03-22T10:47:57+05:30,exp_00037_nlow_pconstant_mnone_idip_c10_fspike_it2,tenant8,low,constant,none,ip,none,10,spike,0.757,2.184,5.812,1.127,19.098,7.6777,4.4434
2026-03-22T12:37:21+05:30,exp_00100_nmedium_pdelayed_start_mnone_idcgroup_c3_fspike_it1,tenant2,medium,delayed_start,none,ip,none,3,spike,0.764,4.253,5.793,1.239,19.787,7.5825,4.6945
2026-03-22T12:19:07+05:30,exp_00074_nmedium_pconstant_mebpf_idip_c3_fspike_it1,tenant1,medium,constant,ebpf,ip,rate_limit,3,spike,0.738,3.851,5.712,1.120,19.842,7.7398,3.7554
2026-03-22T12:41:50+05:30,exp_00106_nmedium_pdelayed_start_mebpf_idip_c3_fspike_it1,tenant1,medium,delayed_start,ebpf,ip,rate_limit,3,spike,0.758,4.339,5.691,1.216,20.195,7.5079,3.7416
2026-03-22T09:57:40+05:30,exp_00016_nlow_pconstant_mnone_idip_c5_fnone_it1,tenant1,low,constant,none,ip,none,5,none,0.735,1.920,5.642,0.834,20.292,7.6762,3.7094
2026-03-22T12:41:50+05:30,exp_00106_nmedium_pdelayed_start_mebpf_idip_c3_fspike_it1,tenant2,medium,delayed_start,ebpf,ip,rate_limit,3,spike,0.749,4.056,5.642,1.275,19.731,7.5327,4.5721
2026-03-22T10:51:05+05:30,exp_00038_nlow_pconstant_mnone_idip_c10_fspike_it3,tenant4,low,constant,none,ip,none,10,spike,0.745,1.949,5.639,1.039,21.321,7.5691,3.2633
