timestamp,experiment,noise_level,traffic_pattern,isolation_method,identity_mode,ebpf_enabled,strategy,hook_point,containers,iteration,failure_mode,tenant,tenant_cpu_quota_pct,tenant_memory_mb,tenant_cpuset,noisy_cpu_quota_pct,noisy_memory_mb,noisy_cpuset,host_reserved_cpus,host_mem_pressure_mb,io_read_bps,io_write_bps,requests,failures,p50_ms,p95_ms,p99_ms,p999_ms,p9999_ms,jitter_ms,variance_ms2,throughput_rps,packet_drops,tail_amplification,recovery_window_samples,degradation_window_samples,map_lookup_latency_us,kernel_ksoftirqd_latency_us,kernel_ebpf_prog_id,kernel_ebpf_prog_name,kernel_ebpf_prog_type,kernel_ebpf_prog_time_ns_per_run,cg_cpu_usage_usec,cg_cpu_throttled_usec,cg_memory_current_bytes,cg_memory_events_oom,cg_io_read_bytes,cg_io_write_bytes,control_plane_convergence_ms,isolation_score
2026-04-09T21:04:06+05:30,ohs_resource_reserved_cpu_adaptive_20260409_205826,medium,delayed_start,adaptive,cgroup,true,adaptive,tc,5,1,churn,tenant3,70,448,auto,50,320,auto,0,0,0,0,200,0,0.851,1.806,4.462,10.739,10.739,1.074,1.154,18.879,0,5.2432,19,1,na,na,na,na,na,na,353973,0,9609216,0,0,4096,na,na
2026-04-09T21:04:06+05:30,ohs_resource_reserved_cpu_adaptive_20260409_205826,medium,delayed_start,adaptive,cgroup,true,adaptive,tc,5,1,churn,tenant4,70,448,auto,50,320,auto,0,0,0,0,200,0,0.959,4.706,6.243,10.625,10.625,1.303,1.698,17.606,0,6.5099,38,1,na,na,na,na,na,na,379730,0,9613312,0,0,4096,na,na
2026-04-09T21:04:49+05:30,hookcmp_tc_rate_limit_20260409_210407,high,constant,ebpf,ip,true,rate_limit,tc,3,1,none,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.976,44.565,69.902,111.104,111.104,16.117,259.743,10.680,0,,,,,,,,,,,,,,,,,6.3214
0,71.6209,8,3,na,na,na,na,na,na,911495,0,9588736,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:04:49+05:30,hookcmp_tc_rate_limit_20260409_210407,high,constant,ebpf,ip,true,rate_limit,tc,3,1,none,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.896,11.920,68.901,73.108,73.108,12.023,144.559,16.092,0,,,,,,,,,,,,,,,,,7.8084
0,76.8984,10,2,na,na,na,na,na,na,970456,0,9605120,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:05:23+05:30,hookcmp_xdp_rate_limit_20260409_210407,high,constant,ebpf,ip,true,rate_limit,xdp,3,1,none,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.915,12.444,74.691,86.606,86.606,12.399,153.723,16.392,0,,,,,,,,,,,,,,,,,6.7545
0,81.6295,3,3,na,na,na,na,na,na,625378,0,9588736,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:05:24+05:30,hookcmp_xdp_rate_limit_20260409_210407,high,constant,ebpf,ip,true,rate_limit,xdp,3,1,none,tenant2,80,512,auto,60,384,auto,none,0,0,0,200,0,0.884,26.401,69.991,77.992,77.992,12.756,162.712,15.174,0,,,,,,,,,,,,,,,,,7.9319
0,79.1753,0,2,na,na,na,na,na,na,548727,0,9588736,0,0,4096,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na
2026-04-09T21:06:18+05:30,ohs_none_low_constant_none_20260409_210547,low,constant,none,ip,false,none,tc,3,1,none,tenant1,80,512,auto,60,384,auto,none,0,0,0,200,0,0.882,3.842,11.058,13.522,13.522,2.044,4.177,15.172,0,12.5374,14,2,na,na,na,na,na,na,473684,0,9613312,0,0,4096,na,1.0000
